"model_name","source_file","status_field_refs","tenant_field_refs","confidence"
"integrationConnectionModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\integrationConnectionModel.js","1","5","Confirmed from code"
"integrationMappingConfigModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\integrationMappingConfigModel.js","0","3","Confirmed from code"
"integrationProviderModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\integrationProviderModel.js","0","0","Confirmed from code"
"integrationRunLogModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\integrationRunLogModel.js","1","3","Confirmed from code"
"KbArticle","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\kbArticleModel.js","0","2","Confirmed from code"
"KbChunk","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\kbChunkModel.js","0","4","Confirmed from code"
"laboratory-records","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\labRecordModels.js","1","0","Confirmed from code"
"monitoring-signals","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\monitoringSignalModel.js","2","4","Confirmed from code"
"NotificationEvent","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\notificationEventModel.js","0","0","Confirmed from code"
"notificationModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\notificationModel.js","0","0","Confirmed from code"
"NotificationOutbox","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\notificationOutboxModel.js","1","3","Confirmed from code"
"NotificationPolicy","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\notificationPolicyModel.js","0","11","Confirmed from code"
"onboardingWizardStateModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\onboardingWizardStateModel.js","1","2","Confirmed from code"
"phase-trackers","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\phaseTrackerModel.js","1","2","Confirmed from code"
"preAuditQuestionnaireModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\preAuditQuestionnaireModel.js","1","2","Confirmed from code"
"productSiteMappingModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\productSiteMappingModel.js","1","0","Confirmed from code"
"public_suppliers","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\publicIntelModels.js","4","0","Confirmed from code"
"questionnaire-artifacts","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\questionnaireArtifactModel.js","3","4","Confirmed from code"
"questionnaireSectionAssignmentModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\questionnaireSectionAssignmentModel.js","2","1","Confirmed from code"
"questionnaireUploadModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\questionnaireUploadModel.js","2","1","Confirmed from code"
"remote-sessions","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\remoteSessionModel.js","1","2","Confirmed from code"
